Èíslo K2;Název;Zkratka;Mìna;Cena;Množství
52276;MC79L05ACDG  (SMD SOIC-8) RoHS;MC79L05ACDG  (SMD SOIC-8) RoHS;CZK;4,62;1
52680;AD633ARZ (SMD SOIC-8) RoHS;AD633ARZ (SMD SOIC-8) RoHS;CZK;116,74;1
20536;ODPOR SMD 0603 4K7/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 4K7/F 0,1W (V PASU) RoHS;CZK;0,01;7
35729;ODPOR SMD 0603 150K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 150K/F 0,1W (V PASU) RoHS;CZK;0,01;1
26411;ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS;CZK;0,01;9
19257;ODPOR SMD 1206 5K6/F (V PASU) RoHS;ODPOR SMD 1206 5K6/F (V PASU) RoHS;CZK;0,03;1
40752;ODPOR SMD 1206 22R/F (V PASU) RoHS;ODPOR SMD 1206 22R/F (V PASU) RoHS;CZK;0,03;1
26778;ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS;CZK;0,01;10
25842;ODPOR SMD 1206 100R/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 100R/F 0,25W (V PASU) RoHS;CZK;0,03;4
14934;ODPOR SMD 1206 6K8/F (V PASU) RoHS;ODPOR SMD 1206 6K8/F (V PASU) RoHS;CZK;0,03;3
26409;ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS;CZK;0,01;8
52298;ODPOR SMD 0204 miniMELF 68K 0,1% 15ppm/°K (MMA02040E6802BB100);ODPOR SMD 0204 miniMELF 68K 0,1% 15ppm/°K (MMA02040E6802BB100);CZK;8,78;2
6232;ODPOR SMD 1206 0R (V PASU) 0,25W RoHS;ODPOR SMD 1206 0R (V PASU) 0,25W RoHS;CZK;0,03;1
19998;ODPOR SMD 0603 1K2/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K2/F 0,1W (V PASU) RoHS;CZK;0,01;1
20538;ODPOR SMD 0603 1K5/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K5/F 0,1W (V PASU) RoHS;CZK;0,01;1
50405;ODPOR SMD 0603 15K 0,1% 0,1W ±15ppm 75V (ERA3APB153P) RoHS;ODPOR SMD 0603 15K 0,1% 0,1W ±15ppm 75V (ERA3APB153P) RoHS;USD;0,34;6
53223;ODPOR SMD 0603 3K 0,1% 0,1W ±10ppm 75V (ERA3ARB302P) RoHS;ODPOR SMD 0603 3K 0,1% 0,1W ±10ppm 75V (ERA3ARB302P) RoHS;USD;0,3;1
19994;ODPOR SMD 0603 1K8/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K8/F 0,1W (V PASU) RoHS;CZK;0,01;2
38117;ODPOR SMD 1206 47R/F (V PASU) RoHS;ODPOR SMD 1206 47R/F (V PASU) RoHS;CZK;0,03;5
14886;ODPOR SMD 1206 1K5/F (V PASU) RoHS;ODPOR SMD 1206 1K5/F (V PASU) RoHS;CZK;0,03;2
47015;ODPOR SMD 0603 10K 0,1% 0,032W ±15ppm 25V (MCT06030E1002BP500) RoH;ODPOR SMD 0603 10K 0,1% 0,032W ±15ppm 25V (MCT06030E1002BP500) RoH;EUR;0,12;4
51218;ODPOR SMD 0603 1M2/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1M2/F 0,1W (V PASU) RoHS;CZK;0,15;1
53222;ODPOR SMD 0603 12K 0,1% 0,1W ±10ppm 75V (ERA3ARB123P) RoHS;ODPOR SMD 0603 12K 0,1% 0,1W ±10ppm 75V (ERA3ARB123P) RoHS;CZK;10,7;2
47355;ODPOR SMD 0603 1K 0,1% 0,1W ±10ppm (ERA3ARB102P) RoHS;ODPOR SMD 0603 1K 0,1% 0,1W ±10ppm (ERA3ARB102P) RoHS;USD;0,31;2
18028;ODPOR SMD 0603 22K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 22K/F 0,1W (V PASU) RoHS;CZK;0,01;8
26716;ODPOR SMD 1206 4K7/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 4K7/F 0,25W (V PASU) RoHS;CZK;0,03;3
